id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,distance_to_shopping_1,distance_to_shopping_2,distance_to_shopping_3,distance_to_green_1,distance_to_green_2,distance_to_green_3,distance_to_train_1,distance_to_train_2,distance_to_train_3,distance_to_highschools_and_1,distance_to_highschools_and_2,distance_to_highschools_and_3,distance_to_tram_and_bus_1,distance_to_tram_and_bus_2,distance_to_tram_and_bus_3,distance_to_cultural_and_1,distance_to_cultural_and_2,distance_to_cultural_and_3,distance_to_primary_1,distance_to_primary_2,distance_to_primary_3
a01d82c9529f98a54d64b9e061c9a73b,szczecin,apartmentBuilding,105.0,4.0,3.0,4.0,2016.0,53.43150295,14.4858204,5.06,1.0,1.08,0.949,0.623,0.791,1.054,3.062,0.335,condominium,brick,premium,no,yes,yes,no,no,1199999,0.2506694452566141,0.2753079404938866,0.27673216695353164,0.18309481680363493,0.18309563515208782,0.18588392059980868,2.899785792644948,3.7972824791562356,4.46375241502633,1.2284447231112972,1.2341645753623183,1.2748700009454923,0.20762201614756495,0.23136043060901632,0.3188301091661445,0.9164868521999978,0.9174943681440446,1.1347001145835134,1.0911839049709906,1.0920812190611218,1.290538678042119
23d558163bb1c7863c73485048e50858,szczecin,,53.8,2.0,5.0,5.0,,53.42942948,14.55464244,0.79,60.0,0.147,0.437,0.328,0.198,0.009,0.465,0.073,cooperative,,,no,no,yes,no,no,400000,0.03938919412306828,0.08043074529207854,0.19894204177088584,0.03261141556996172,0.03297045119357704,0.04450426739340158,1.2915308115297413,1.9670830439274263,2.8690301145702746,0.14695398414544483,0.3271128899420828,0.3291692049382085,0.053921525787411745,0.06456198598830333,0.07662703025008064,0.14075649483159883,0.14189038822315736,0.14305878225848892,0.3900509323955536,0.4886369697072369,0.4899917338602977
9b957bd60885a469c96f17b58a914f4b,szczecin,apartmentBuilding,117.0,5.0,4.0,4.0,,53.4430957490062,14.5613475014441,2.19,10.0,0.216,0.611,0.743,0.28,0.298,1.522,0.229,udział,brick,premium,yes,yes,no,no,no,1169000,0.05372072186357583,0.18823051045351527,0.19747684612992786,0.007491537414148832,0.009040156130986037,0.029132697846748618,2.6386613459868067,2.8746733460398115,3.349770315127637,0.2895415217284777,0.30150205635769195,0.3017345824043083,0.12839991423174568,0.1691780943826904,0.18245247075420976,0.3013421699415636,0.36057777044364536,0.4212569017489738,0.22113679597148345,0.22175735450238657,0.40277543179929504
77cc78c75b0d09bf84d6d3124a28803c,szczecin,blockOfFlats,56.0,3.0,7.0,7.0,2018.0,53.4474649390434,14.5578114013843,2.68,10.0,0.268,0.771,0.676,0.26,0.322,1.643,0.178,condominium,brick,premium,yes,yes,yes,yes,yes,799000,0.12425901343311889,0.1501842997833663,0.15018561821256687,0.03730327837985605,0.04662425884705302,0.0530602703936138,2.3837102508762777,3.296872677436027,3.859929428192157,0.29701232351245493,0.2971345629156754,0.3133212681763399,0.23714905933448455,0.28153486146718615,0.3060027690423187,0.2658463524329989,0.6657320033301796,0.6659041206496139,0.25982529610845834,0.2609168631273092,0.3282806362207528
7d0c31d5409caab173571cce3dcdf702,szczecin,blockOfFlats,68.61,3.0,4.0,4.0,1997.0,53.4562131879767,14.5832223504052,3.94,7.0,0.139,1.336,0.926,0.93,0.071,0.786,0.304,condominium,brick,,no,yes,no,no,yes,599000,0.07892984106947812,0.11709075772442346,0.13655819725913554,0.02420010304554347,0.031545996890998504,0.03412550525365168,4.209476295057034,4.77962785555597,4.92655013978266,0.12256883959216235,0.12956995957876694,0.13598983443869497,0.191295174493434,0.19976815174220924,0.24347221060989613,0.4532964169967292,0.6425399753242692,0.7015752764238697,0.1562496711796476,0.7534648722493557,1.0336967907797825
abf85134e758b50c9c7027c818051d74,szczecin,blockOfFlats,26.8,1.0,4.0,5.0,1960.0,53.438362,14.5562786,1.69,25.0,0.218,0.358,0.121,0.102,0.162,1.018,0.02,cooperative,brick,premium,no,no,yes,no,no,322000,0.027151136951489737,0.07933918574964675,0.12656538287559235,0.017260063386327944,0.01851086951341505,0.022139972772351003,2.283171397806817,2.443884053254419,2.8826997060728647,0.23024880715504953,0.2590457778291018,0.2595089075757225,0.21845718516207704,0.23120830990723998,0.23703057955798376,0.15475947638946336,0.16973549791779494,0.36234509444770424,0.2077139430634704,0.20819069232190449,0.5934988336622986
4cc84890d38ed89d10d448ff15639317,szczecin,tenement,81.0,4.0,3.0,4.0,1935.0,53.4466,14.543,2.84,11.0,0.257,0.898,0.042,0.16,0.221,0.941,0.108,condominium,brick,,yes,no,no,no,yes,699000,0.03427629615988339,0.09951278145761326,0.1375699724157184,0.010597927623386542,0.010627415641154284,0.024465017730520375,1.3997275987719393,3.1817795801813125,4.026151918815662,0.5488275403176823,0.5508854892789584,0.8265182308370027,0.2069430982367866,0.20843393540237612,0.2580454903031188,0.790951482192978,0.7909557050850171,0.7923674545045225,0.2466216720252486,0.2481930794183896,0.7787670993657677
6c52a81e120e63107c48f2357a349a3c,szczecin,blockOfFlats,49.7,3.0,2.0,4.0,1993.0,53.3761968,14.6858249,9.8,2.0,1.301,0.563,0.172,1.237,1.271,,0.187,cooperative,concreteSlab,premium,yes,yes,no,no,yes,529900,2.4474975445166,2.4845412483929237,2.6236933232556843,2.3406666840415933,2.3430735323134932,2.362929859641399,3.2581585133787194,6.809702109795485,8.938183642389681,3.0017658084512737,3.3441528001985383,3.378149784404637,2.404575865447388,2.410941469902241,2.419315209630665,2.367213063913834,2.3680009833431503,2.3967581213505555,3.2768722731537676,3.2829729544135406,3.951776804132759
7e89a490bc68cab8d4e5bd78f09536c6,szczecin,tenement,114.37,4.0,1.0,3.0,1900.0,53.4340626,14.5432423,1.67,73.0,0.327,0.422,0.361,0.194,0.054,0.238,0.224,condominium,brick,low,yes,yes,no,no,yes,649000,0.1148880719433594,0.11586444558135313,0.1281610097942663,0.013031385331136491,0.013042575034777333,0.013089901696140075,1.8060402431904141,1.9635312384398682,2.7784625244314025,0.330754611446298,0.35114830044519046,0.42398051997478275,0.15931602119874375,0.17197279215975284,0.2289693760225894,0.18319490591900506,0.3391308504150082,0.436945822633803,0.3287402545445542,0.32881155842427534,0.33472777016573557
39a74b03b9a5041bcf5b770a8af33d62,szczecin,apartmentBuilding,39.0,2.0,6.0,7.0,2020.0,53.4159,14.5329,2.04,8.0,0.547,0.463,0.04,0.197,0.259,0.446,0.678,condominium,brick,,yes,yes,yes,yes,yes,550000,0.036056437537883936,0.12246812144717924,0.23692203617477903,0.0652993469814356,0.06652859903630816,0.07700964455036723,1.1244742344517367,2.2201860093416714,3.1555026234631884,0.559069554255851,0.561741501036101,0.5623776784618688,0.050260455254172956,0.054889364329972413,0.060453149054227905,0.41812637666393854,0.4194643870817741,0.4650630868176911,0.9700576164187724,0.9700638351673687,1.2243279239173623
